PassengerId,Pclass,Age,SibSp,Parch,Male,Embarked,Survived
1,3,5,1,0,1,S,0
2,1,8,1,0,0,C,1
3,3,6,0,0,0,S,1
4,1,7,1,0,0,S,1
5,3,7,0,0,1,S,0
6,3,-1,0,0,1,Q,0
7,1,11,0,0,1,S,0
8,3,1,3,1,1,S,0
9,3,6,0,2,0,S,1
10,2,3,1,0,0,C,1
11,3,1,1,1,0,S,1
12,1,12,0,0,0,S,1
13,3,4,0,0,1,S,0
14,3,8,1,5,1,S,0
15,3,3,0,0,0,S,0
16,2,11,0,0,0,S,1
17,3,1,4,1,1,Q,0
18,2,-1,0,0,1,S,1
19,3,7,1,0,0,S,0
20,3,-1,0,0,0,C,1
21,2,7,0,0,1,S,0
22,2,7,0,0,1,S,1
23,3,3,0,0,0,Q,1
24,1,6,0,0,1,S,1
25,3,2,3,1,0,S,0
26,3,8,1,5,0,S,1
27,3,-1,0,0,1,C,0
28,1,4,3,2,1,S,0
29,3,-1,0,0,0,Q,1
30,3,-1,0,0,1,S,0
31,1,8,0,0,1,C,0
32,1,-1,1,0,0,C,1
33,3,-1,0,0,0,Q,1
34,2,14,0,0,1,S,0
35,1,6,1,0,1,C,0
36,1,9,1,0,1,S,0
37,3,-1,0,0,1,C,1
38,3,5,0,0,1,S,0
39,3,4,2,0,0,S,0
40,3,3,1,0,0,C,1
41,3,8,1,0,0,S,0
42,2,6,1,0,0,S,0
43,3,-1,0,0,1,C,0
44,2,1,1,2,0,C,1
45,3,4,0,0,0,Q,1
46,3,-1,0,0,1,S,0
47,3,-1,1,0,1,Q,0
48,3,-1,0,0,0,Q,1
49,3,-1,2,0,1,C,0
50,3,4,1,0,0,S,0
51,3,2,4,1,1,S,0
52,3,5,0,0,1,S,0
53,1,10,1,0,0,C,1
54,2,6,1,0,0,S,1
55,1,13,0,1,1,C,0
56,1,-1,0,0,1,S,1
57,2,5,0,0,0,S,1
58,3,6,0,0,1,C,0
59,2,1,1,2,0,S,1
60,3,3,5,2,1,S,0
61,3,5,0,0,1,C,0
62,1,8,0,0,0,Empty,1
63,1,9,1,0,1,S,0
64,3,1,3,2,1,S,0
65,1,-1,0,0,1,C,0
66,3,-1,1,1,1,C,1
67,2,6,0,0,0,S,1
68,3,4,0,0,1,S,0
69,3,4,4,2,0,S,1
70,3,6,2,0,1,S,0
71,2,7,0,0,1,S,0
72,3,4,5,2,0,S,0
73,2,5,0,0,1,S,0
74,3,6,1,0,1,C,0
75,3,7,0,0,1,S,1
76,3,5,0,0,1,S,0
77,3,-1,0,0,1,S,0
78,3,-1,0,0,1,S,0
79,2,0,0,2,1,S,1
80,3,6,0,0,0,S,1
81,3,5,0,0,1,S,0
82,3,6,0,0,1,S,1
83,3,-1,0,0,0,Q,1
84,1,6,0,0,1,S,0
85,2,4,0,0,0,S,1
86,3,7,3,0,0,S,1
87,3,4,1,3,1,S,0
88,3,-1,0,0,1,S,0
89,1,5,3,2,0,S,1
90,3,5,0,0,1,S,0
91,3,6,0,0,1,S,0
92,3,4,0,0,1,S,0
93,1,10,1,0,1,S,0
94,3,6,1,2,1,S,0
95,3,12,0,0,1,S,0
96,3,-1,0,0,1,S,0
97,1,15,0,0,1,C,0
98,1,5,0,1,1,C,1
99,2,7,0,1,0,S,1
100,2,7,1,0,1,S,0
101,3,6,0,0,0,S,0
102,3,-1,0,0,1,S,0
103,1,5,0,1,1,S,0
104,3,7,0,0,1,S,0
105,3,8,2,0,1,S,0
106,3,6,0,0,1,S,0
107,3,5,0,0,0,S,1
108,3,-1,0,0,1,S,1
109,3,8,0,0,1,S,0
110,3,-1,1,0,0,Q,1
111,1,10,0,0,1,S,0
112,3,3,1,0,0,C,0
113,3,5,0,0,1,S,0
114,3,4,1,0,0,S,0
115,3,4,0,0,0,C,0
116,3,5,0,0,1,S,0
117,3,15,0,0,1,Q,0
118,2,6,1,0,1,S,0
